crop,year,WOFOST_FLD,weather_uuid
barley,2015,6819.139066124857,0_2_0_0_0_0
barley,2016,6648.720240700398,0_2_0_0_0_0
barley,2017,6675.128895717084,0_2_0_0_0_0
barley,2018,6545.706056218721,0_2_0_0_0_0
barley,2019,6607.334944271712,0_2_0_0_0_0
soybean,2015,1092.0386109439464,0_2_0_0_0_0
soybean,2016,1162.035273970115,0_2_0_0_0_0
soybean,2017,1158.5185949713605,0_2_0_0_0_0
soybean,2018,1182.5500914962142,0_2_0_0_0_0
soybean,2019,1116.907036741626,0_2_0_0_0_0
sugarbeet,2015,2842.9137945191396,0_2_0_0_0_0
sugarbeet,2016,2877.117789964159,0_2_0_0_0_0
sugarbeet,2017,2810.839612762865,0_2_0_0_0_0
sugarbeet,2018,2718.290970797515,0_2_0_0_0_0
sugarbeet,2019,2556.8550557459043,0_2_0_0_0_0
barley,2015,7029.4268955113,0_2_0_0_0_1
barley,2016,6885.283805646486,0_2_0_0_0_1
barley,2017,6938.99746089438,0_2_0_0_0_1
barley,2018,6876.301343199573,0_2_0_0_0_1
barley,2019,6923.462739269674,0_2_0_0_0_1
soybean,2015,1092.0386109439464,0_2_0_0_0_1
soybean,2016,1162.035273970115,0_2_0_0_0_1
soybean,2017,1158.5185949713605,0_2_0_0_0_1
soybean,2018,1182.5500914962142,0_2_0_0_0_1
soybean,2019,1116.907036741626,0_2_0_0_0_1
sugarbeet,2015,5432.140427381556,0_2_0_0_0_1
sugarbeet,2016,5389.606590705989,0_2_0_0_0_1
sugarbeet,2017,5268.303888881739,0_2_0_0_0_1
sugarbeet,2018,5135.577679582936,0_2_0_0_0_1
sugarbeet,2019,4856.554765825647,0_2_0_0_0_1
barley,2015,7029.4268955113,0_2_0_0_0_2
barley,2016,6885.283805646486,0_2_0_0_0_2
barley,2017,6938.99746089438,0_2_0_0_0_2
barley,2018,6876.380788624462,0_2_0_0_0_2
barley,2019,6926.039045652916,0_2_0_0_0_2
soybean,2015,1092.0386109439464,0_2_0_0_0_2
soybean,2016,1162.035273970115,0_2_0_0_0_2
soybean,2017,1158.5185949713605,0_2_0_0_0_2
soybean,2018,1182.5500914962142,0_2_0_0_0_2
soybean,2019,1116.907036741626,0_2_0_0_0_2
sugarbeet,2015,7054.723961241606,0_2_0_0_0_2
sugarbeet,2016,7160.313578962301,0_2_0_0_0_2
sugarbeet,2017,7165.64797937802,0_2_0_0_0_2
sugarbeet,2018,7258.206668948844,0_2_0_0_0_2
sugarbeet,2019,7048.500203566758,0_2_0_0_0_2
barley,2015,7029.4268955113,0_2_0_0_0_3
barley,2016,6885.283805646486,0_2_0_0_0_3
barley,2017,6938.99746089438,0_2_0_0_0_3
barley,2018,6876.380788624462,0_2_0_0_0_3
barley,2019,6926.039045652916,0_2_0_0_0_3
soybean,2015,1092.0386109439464,0_2_0_0_0_3
soybean,2016,1162.035273970115,0_2_0_0_0_3
soybean,2017,1158.5185949713605,0_2_0_0_0_3
soybean,2018,1182.5500914962142,0_2_0_0_0_3
soybean,2019,1116.907036741626,0_2_0_0_0_3
sugarbeet,2015,7054.723961241606,0_2_0_0_0_3
sugarbeet,2016,7160.313578962301,0_2_0_0_0_3
sugarbeet,2017,7165.64797937802,0_2_0_0_0_3
sugarbeet,2018,7258.206668948844,0_2_0_0_0_3
sugarbeet,2019,7048.500203566758,0_2_0_0_0_3
barley,2015,7029.4268955113,0_2_0_0_0_4
barley,2016,6885.283805646486,0_2_0_0_0_4
barley,2017,6938.99746089438,0_2_0_0_0_4
barley,2018,6876.380788624462,0_2_0_0_0_4
barley,2019,6926.039045652916,0_2_0_0_0_4
soybean,2015,1092.0386109439464,0_2_0_0_0_4
soybean,2016,1162.035273970115,0_2_0_0_0_4
soybean,2017,1158.5185949713605,0_2_0_0_0_4
soybean,2018,1182.5500914962142,0_2_0_0_0_4
soybean,2019,1116.907036741626,0_2_0_0_0_4
sugarbeet,2015,7054.723961241606,0_2_0_0_0_4
sugarbeet,2016,7160.313578962301,0_2_0_0_0_4
sugarbeet,2017,7165.64797937802,0_2_0_0_0_4
sugarbeet,2018,7258.206668948844,0_2_0_0_0_4
sugarbeet,2019,7048.500203566758,0_2_0_0_0_4
barley,2015,7029.4268955113,0_2_0_0_0_5
barley,2016,6885.283805646486,0_2_0_0_0_5
barley,2017,6938.99746089438,0_2_0_0_0_5
barley,2018,6876.380788624462,0_2_0_0_0_5
barley,2019,6926.039045652916,0_2_0_0_0_5
soybean,2015,1092.0386109439464,0_2_0_0_0_5
soybean,2016,1162.035273970115,0_2_0_0_0_5
soybean,2017,1158.5185949713605,0_2_0_0_0_5
soybean,2018,1182.5500914962142,0_2_0_0_0_5
soybean,2019,1116.907036741626,0_2_0_0_0_5
sugarbeet,2015,7054.723961241606,0_2_0_0_0_5
sugarbeet,2016,7160.313578962301,0_2_0_0_0_5
sugarbeet,2017,7165.64797937802,0_2_0_0_0_5
sugarbeet,2018,7258.206668948844,0_2_0_0_0_5
sugarbeet,2019,7048.500203566758,0_2_0_0_0_5
barley,2015,7029.4268955113,0_2_0_0_0_6
barley,2016,6885.283805646486,0_2_0_0_0_6
barley,2017,6938.99746089438,0_2_0_0_0_6
barley,2018,6876.380788624462,0_2_0_0_0_6
barley,2019,6926.039045652916,0_2_0_0_0_6
soybean,2015,1092.0386109439464,0_2_0_0_0_6
soybean,2016,1162.035273970115,0_2_0_0_0_6
soybean,2017,1158.5185949713605,0_2_0_0_0_6
soybean,2018,1182.5500914962142,0_2_0_0_0_6
soybean,2019,1116.907036741626,0_2_0_0_0_6
sugarbeet,2015,7054.723961241606,0_2_0_0_0_6
sugarbeet,2016,7160.313578962301,0_2_0_0_0_6
sugarbeet,2017,7165.64797937802,0_2_0_0_0_6
sugarbeet,2018,7258.206668948844,0_2_0_0_0_6
sugarbeet,2019,7048.500203566758,0_2_0_0_0_6
barley,2015,7029.4268955113,0_2_0_0_0_7
barley,2016,6885.283805646486,0_2_0_0_0_7
barley,2017,6938.99746089438,0_2_0_0_0_7
barley,2018,6876.380788624462,0_2_0_0_0_7
barley,2019,6926.039045652916,0_2_0_0_0_7
soybean,2015,1092.0386109439464,0_2_0_0_0_7
soybean,2016,1162.035273970115,0_2_0_0_0_7
soybean,2017,1158.5185949713605,0_2_0_0_0_7
soybean,2018,1182.5500914962142,0_2_0_0_0_7
soybean,2019,1116.907036741626,0_2_0_0_0_7
sugarbeet,2015,7054.723961241606,0_2_0_0_0_7
sugarbeet,2016,7160.313578962301,0_2_0_0_0_7
sugarbeet,2017,7165.64797937802,0_2_0_0_0_7
sugarbeet,2018,7258.206668948844,0_2_0_0_0_7
sugarbeet,2019,7048.500203566758,0_2_0_0_0_7
barley,2015,7029.4268955113,0_2_0_0_0_8
barley,2016,6885.283805646486,0_2_0_0_0_8
barley,2017,6938.99746089438,0_2_0_0_0_8
barley,2018,6876.380788624462,0_2_0_0_0_8
barley,2019,6926.039045652916,0_2_0_0_0_8
soybean,2015,1092.0386109439464,0_2_0_0_0_8
soybean,2016,1162.035273970115,0_2_0_0_0_8
soybean,2017,1158.5185949713605,0_2_0_0_0_8
soybean,2018,1182.5500914962142,0_2_0_0_0_8
soybean,2019,1116.907036741626,0_2_0_0_0_8
sugarbeet,2015,7054.723961241606,0_2_0_0_0_8
sugarbeet,2016,7160.313578962301,0_2_0_0_0_8
sugarbeet,2017,7165.64797937802,0_2_0_0_0_8
sugarbeet,2018,7258.206668948844,0_2_0_0_0_8
sugarbeet,2019,7048.500203566758,0_2_0_0_0_8
barley,2015,6309.764733978377,0_2_0_0_1_0
barley,2016,6098.329343890328,0_2_0_0_1_0
barley,2017,6053.662480139245,0_2_0_0_1_0
barley,2018,5868.347292486449,0_2_0_0_1_0
barley,2019,5885.40616257216,0_2_0_0_1_0
soybean,2015,1092.0386109439464,0_2_0_0_1_0
soybean,2016,1162.035273970115,0_2_0_0_1_0
soybean,2017,1158.5185949713605,0_2_0_0_1_0
soybean,2018,1182.5500914962142,0_2_0_0_1_0
soybean,2019,1116.907036741626,0_2_0_0_1_0
sugarbeet,2015,2185.0757257559067,0_2_0_0_1_0
sugarbeet,2016,2178.041568860465,0_2_0_0_1_0
sugarbeet,2017,2102.894280667378,0_2_0_0_1_0
sugarbeet,2018,1983.8691101409465,0_2_0_0_1_0
sugarbeet,2019,1818.6018166998579,0_2_0_0_1_0
barley,2015,6895.51308512603,0_2_0_0_1_1
barley,2016,6692.761190131037,0_2_0_0_1_1
barley,2017,6691.565909137278,0_2_0_0_1_1
barley,2018,6510.326924886388,0_2_0_0_1_1
barley,2019,6515.152635886756,0_2_0_0_1_1
soybean,2015,1092.0386109439464,0_2_0_0_1_1
soybean,2016,1162.035273970115,0_2_0_0_1_1
soybean,2017,1158.5185949713605,0_2_0_0_1_1
soybean,2018,1182.5500914962142,0_2_0_0_1_1
soybean,2019,1116.907036741626,0_2_0_0_1_1
sugarbeet,2015,4354.6176861709755,0_2_0_0_1_1
sugarbeet,2016,4255.375519608099,0_2_0_0_1_1
sugarbeet,2017,4113.787678340787,0_2_0_0_1_1
sugarbeet,2018,3934.946855816931,0_2_0_0_1_1
sugarbeet,2019,3646.2605734342096,0_2_0_0_1_1
barley,2015,7029.4268955113,0_2_0_0_1_2
barley,2016,6885.283805646486,0_2_0_0_1_2
barley,2017,6938.99746089438,0_2_0_0_1_2
barley,2018,6876.380788624462,0_2_0_0_1_2
barley,2019,6926.039045652916,0_2_0_0_1_2
soybean,2015,1092.0386109439464,0_2_0_0_1_2
soybean,2016,1162.035273970115,0_2_0_0_1_2
soybean,2017,1158.5185949713605,0_2_0_0_1_2
soybean,2018,1182.5500914962142,0_2_0_0_1_2
soybean,2019,1116.907036741626,0_2_0_0_1_2
sugarbeet,2015,7054.723961241606,0_2_0_0_1_2
sugarbeet,2016,7136.349691169495,0_2_0_0_1_2
sugarbeet,2017,7038.459701550342,0_2_0_0_1_2
sugarbeet,2018,6932.524795436344,0_2_0_0_1_2
sugarbeet,2019,6510.328152048815,0_2_0_0_1_2
barley,2015,7029.4268955113,0_2_0_0_1_3
barley,2016,6885.283805646486,0_2_0_0_1_3
barley,2017,6938.99746089438,0_2_0_0_1_3
barley,2018,6876.380788624462,0_2_0_0_1_3
barley,2019,6926.039045652916,0_2_0_0_1_3
soybean,2015,1092.0386109439464,0_2_0_0_1_3
soybean,2016,1162.035273970115,0_2_0_0_1_3
soybean,2017,1158.5185949713605,0_2_0_0_1_3
soybean,2018,1182.5500914962142,0_2_0_0_1_3
soybean,2019,1116.907036741626,0_2_0_0_1_3
sugarbeet,2015,7054.723961241606,0_2_0_0_1_3
sugarbeet,2016,7160.313578962301,0_2_0_0_1_3
sugarbeet,2017,7165.64797937802,0_2_0_0_1_3
sugarbeet,2018,7258.206668948844,0_2_0_0_1_3
sugarbeet,2019,7048.500203566758,0_2_0_0_1_3
barley,2015,7029.4268955113,0_2_0_0_1_4
barley,2016,6885.283805646486,0_2_0_0_1_4
barley,2017,6938.99746089438,0_2_0_0_1_4
barley,2018,6876.380788624462,0_2_0_0_1_4
barley,2019,6926.039045652916,0_2_0_0_1_4
soybean,2015,1092.0386109439464,0_2_0_0_1_4
soybean,2016,1162.035273970115,0_2_0_0_1_4
soybean,2017,1158.5185949713605,0_2_0_0_1_4
soybean,2018,1182.5500914962142,0_2_0_0_1_4
soybean,2019,1116.907036741626,0_2_0_0_1_4
