DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,-3046.2705489427544,-16.852390416069877,-10.73689132880204,-0.01303286761397386,1.828258290072913,-3.1324739081141,
20150102,-2925.211394409355,-17.607126707311245,-11.164635995881218,-0.03879152816217673,1.7275035007981396,-3.21951684459091,
20150103,-2777.2123819621174,-17.78876627912282,-10.895118289096958,-0.02233698659851437,1.7753478425013574,-3.1099762109767015,
20150104,-3022.9869499283423,-17.85336607627893,-11.357321107832849,-0.01918361894899631,1.7555695828863407,-2.8009008767858936,
20150105,-2895.0779982703284,-18.050314412733503,-10.344200515657693,-0.03568315321640248,1.7108114946256643,-3.172903466585316,
20150106,-3006.529552079975,-17.940082428132325,-11.065392859010489,-0.018978695304404228,1.6984319833920087,-3.1898368897398575,
20150107,-2214.6561876167843,-18.374124525440333,-10.738608153555717,-0.0422229666776035,1.724958810454748,-3.4071787684568124,
20150108,-2504.230289981342,-18.374649421322168,-10.975267240983504,-0.020923268204492838,1.7038960700857966,-3.2431828544748442,
20150109,-2563.0619809908553,-18.061035111985674,-11.548896520935015,-0.056126015836712395,1.9255606832842562,-3.4560928768201613,
20150110,-2451.3551534036746,-18.429264114922436,-11.687395390018095,-0.05860835351635501,1.6204484519450177,-3.220243488633456,
20150111,-2652.7936607278043,-18.44401132951667,-11.468339136876464,-0.05404106632656749,1.6991243589944263,-3.2688349699957455,
20150112,-2129.5259147422244,-18.738002206463843,-11.65630044455513,-0.014574690629213715,1.7088861152824886,-3.465006313098336,
20150113,-1623.1323776709824,-19.275817918113486,-11.997169328738293,-0.06590400006664628,1.7285507378693592,-3.474379492967043,
20150114,-1715.867787190356,-19.035406363529027,-11.502844053535556,-0.04201572264398848,1.9421201082155521,-3.5810702579198455,
20150115,-1873.3018120139586,-18.87538860817184,-11.775512291351763,-0.05892702331237414,1.8188757080464812,-3.1814975991536643,
20150116,-2275.843880432362,-19.48109866312782,-11.82177440066554,-0.05420732989099847,2.0125313442263972,-3.6806688531694958,
20150117,-2283.0553336227404,-19.49449054743124,-11.912409884357409,-0.037894895144738844,2.003980093127648,-3.387996766267531,
20150118,-1708.3681462270854,-19.222406567320455,-12.359893585871982,-0.053775520122918204,2.0327595656518764,-3.5497811781129247,
20150119,-2036.179606540107,-19.72891601474814,-12.426125279258716,-0.05930673388544358,2.06867220702221,-3.587458028124176,
20150120,-2057.276093129989,-19.792688111601006,-12.407499152200108,-0.05680069950192096,2.0581246518160663,-3.410271101063869,
20150121,-1681.0364195346085,-20.046461531471465,-11.786136352183414,-0.05041860290764342,2.165693818956497,-3.5668317829518257,
20150122,-1565.1102529383181,-19.894899915938,-12.95109201930504,-0.07276940091146239,2.302052430066265,-3.2535872528403442,
20150123,-1406.2899778909862,-20.38743682712217,-12.624614289611205,-0.0766004521307393,2.272682238223158,-3.3495336314427586,
20150124,-1227.063537304254,-20.13502973112887,-12.250894184814891,-0.06535953941584734,2.279357213795995,-3.3462924195776407,
20150125,-1629.0010542926086,-20.211008589025806,-12.59075207981567,-0.06156854081078959,2.3731144421556425,-3.2277879515108974,
20150126,-1247.9111785117695,-20.336780057939905,-12.696785333174152,-0.07856544495285718,2.1841257797574873,-2.945306775690691,
20150127,-1513.5528934046863,-20.38344717600345,-12.478370582711225,-0.052682600217153736,2.3743045738441975,-3.5672660245017163,
20150128,-1256.903418063372,-20.65505657254317,-12.49575325933464,-0.056754191673972866,2.3260039725782504,-3.256684270584269,
20150129,-1395.4204228700505,-20.682838131488552,-12.62542904209982,-0.05681858343956588,2.481285472455866,-3.4285620217035495,
20150130,-1582.769900046968,-19.682441057223546,-12.841040538414996,-0.08423822894282647,2.5381273828952846,-3.1585679845804595,
20150131,-1146.9588947312614,-20.050437825532615,-12.919753292358623,-0.07059270144995364,2.6576050176782715,-3.2057011984949546,
20150201,-1380.4339056957756,-20.79820541548694,-12.378542753167203,-0.054704724236445415,2.601549973560788,-3.4957297107478764,
20150202,-794.3508666324758,-20.767475212496453,-12.710876581675372,-0.05272266273493635,2.4691401915211957,-3.1492017826234506,
20150203,-647.1431521057411,-19.964048561729733,-12.256963743247622,-0.08153799177284747,2.4634959083941212,-3.218983944713261,
20150204,-791.2907815614928,-19.862223467797225,-12.369116904980292,-0.0664636329136649,2.5963722861881253,-3.0715190042599407,
20150205,-599.6255676153509,-19.82326789591608,-12.090294042294255,-0.060541541730619874,2.6205012177061726,-3.2253961518373475,
20150206,-591.5216298520543,-20.11977929342001,-12.24816885327257,-0.07013321462811518,2.439376882657515,-3.4892961605699524,
20150207,-504.92262795527574,-20.04194214646006,-12.133671688291084,-0.0701611196013694,2.421180596697609,-3.269541500370122,
20150208,-489.42544949226516,-20.0342560505507,-11.599135685437851,-0.06892341090446416,2.4137603516698984,-3.353203555432015,
20150209,-14.976703489187592,-20.073794371550466,-11.286554011782703,-0.05264093161881156,2.4297885990745236,-3.0921163858114866,
20150210,101.95380011053466,-20.272211924658993,-11.495350592397475,-0.036177003603193425,2.423306035522828,-3.2181907345781675,
20150211,754.2224959509576,-19.909783966735585,-11.500958096797056,-0.04932120941728655,2.2923381790016393,-3.369228593119393,
20150212,383.07826365642904,-19.30002915733439,-11.206157378525912,-0.03861525954041753,2.3489093600926823,-3.1017167776287695,
20150213,986.7202676967078,-18.961050788022373,-11.332816120785399,-0.03932235304221982,2.3818837988251005,-3.3577504311864175,
20150214,955.9742850339704,-19.11942400655338,-11.020160678238337,-0.027325673685383238,2.1926992490267736,-3.459734683308119,
20150215,1603.054622068516,-18.883736063586987,-10.70785605426102,-0.05056349506617126,2.1124092725246397,-3.314978501838343,
20150216,1313.454023243518,-18.600284148694218,-10.472547680961272,-0.055741501744282496,2.305745523495268,-3.099861075836319,
20150217,1691.8664859367127,-18.531433533946874,-10.050835680481034,-0.022060310517350603,2.090338436391666,-3.382338318183901,
20150218,1911.8616988389167,-18.68680201099991,-10.426342172734733,-0.03736918896225982,2.059229501228882,-3.7106015864157236,
20150219,2158.179767807258,-18.36928621768755,-9.731261458899317,-0.01699712206609673,2.1332378357096538,-3.7206041591359313,
20150220,2318.534859121257,-18.487461637171002,-10.072613551769503,-0.008893237583082102,2.1890747357892364,-4.084097156712469,
20150221,1958.1384225359152,-17.628525040265288,-9.186742837161923,-0.03370275063787973,2.0375032006375013,-3.9214282009968664,
20150222,2042.806350860217,-17.742732539340455,-9.652121178470285,0.005620034621598723,2.1195502927422685,-3.7235483851265805,
20150223,2844.1053915479656,-17.195547622167265,-8.387778025903737,-0.00821136813091804,2.0881845274710704,-3.6990933566264115,
20150224,2708.7993645941087,-17.774240888349887,-8.937115298629328,-0.0035392125649306473,1.8822800637197261,-3.5484307045491925,
20150225,3076.442054874497,-16.77409239006461,-8.753787582238294,-0.014149443935147932,1.9000355383291858,-3.7908483111253903,
20150226,3399.0807380884835,-17.006422636201936,-8.2974308355904,0.0139931212213368,2.058590060919407,-3.5066293640757347,
20150227,3038.5209378315494,-16.756665649063383,-8.068130841689449,-0.007457867026340811,2.0150794502143667,-3.619734478855683,
20150228,3673.431866741317,-16.31355090776253,-7.979999530292686,0.04378721122666528,2.0660897253229646,-3.659403891046409,
20150301,3600.1442793884603,-15.618871667501988,-7.694297084796537,0.03641363112078385,1.9264671905098132,-3.7683192789381263,
20150302,3834.3785940701696,-15.757922053644355,-7.250283274223042,0.027171989324752673,1.811900292286064,-3.749184088154471,
20150303,3986.264273152211,-15.862003802525352,-6.959591837623538,0.03489823994649883,2.04344523541722,-3.460013577721762,
20150304,4784.494283331362,-15.45595018960455,-7.2881676412030165,0.05735871020766442,2.0054076911411673,-3.6010431817840884,
20150305,4334.209911711623,-16.045263766838556,-6.741932772419744,0.040371921253232516,1.9952321594780544,-3.8287522501060174,
20150306,4808.9839820279485,-15.251266428596578,-6.409607232896036,0.04390498669609888,2.1446370106619765,-3.682811938753257,
20150307,4106.280695042578,-14.75560210901623,-6.263491687769614,0.03888797411674732,2.0575774073336146,-3.088107815196548,
20150308,4913.8295429442705,-15.096437368196556,-6.737737968804069,0.04179863849911221,2.109887462344465,-3.1488342204616986,
20150309,5274.5816566306285,-14.517017253752298,-6.368527395264362,0.03212561871850223,2.053649190987511,-3.409624385370323,
20150310,5199.201942032735,-14.112324885552342,-5.955416344085473,0.05765187948882197,1.9790469753694608,-3.2215873863528706,
20150311,5297.351266869284,-14.392022130468977,-5.152547406632858,0.06854313871584254,2.005394477847906,-3.279984979077582,
20150312,6069.371489575843,-13.820455301396331,-5.404498227156005,0.0577473191854237,2.0200540863721343,-3.1671820732038958,
20150313,5688.493570142439,-13.73176971440386,-5.118043565488165,0.07093858000706856,2.0066845542295577,-3.7850658670472743,
20150314,5600.901900187208,-13.545170720878032,-5.15378031246266,0.07753679366182205,1.9979107226455566,-3.4307726645651497,
20150315,6107.832545881466,-13.42341607494384,-5.121728298964388,0.06609185443947875,1.9619619216428472,-2.8057436744970063,
20150316,6002.845512439922,-13.567658196379154,-5.07477281188312,0.0850088931836391,1.9862921904476523,-3.182914988076127,
20150317,6392.62511666855,-13.133204079547324,-3.9488088049527104,0.09170856207701353,2.0311222151835064,-3.5708591849986333,
20150318,7048.776786719511,-13.094949456380316,-3.6421686107497373,0.0805160578031507,1.9506873106088813,-3.4551337027391766,
20150319,6857.374157311803,-12.984506149539664,-3.9930956382409106,0.10488717592993811,1.9713971329704416,-3.0758966731854787,
20150320,7059.554357932528,-13.064348395382547,-3.5952161744986606,0.09581498952379032,1.9366085503094057,-3.511032951452089,
20150321,6983.254339207595,-12.042470970916266,-3.4452300380515934,0.09225771947567175,1.889268487643038,-3.5140031359113095,
20150322,6969.515330598773,-12.471368828522923,-2.7957482951242287,0.1318279051153872,1.6979103038088492,-3.6532448236998323,
20150323,7388.098466730481,-12.174045316295688,-2.7960339276894874,0.14743108454705403,1.7496961621117844,-3.4668747691651864,
20150324,7768.583522910842,-11.60616202118519,-2.372089192667093,0.1557334783193114,1.6335425424367205,-3.5507407719853257,
20150325,8293.207176948341,-11.386119180563643,-1.9198508064570687,0.12940744561019857,1.7155877702321722,-3.500870153006939,
20150326,7999.129926164844,-11.277067916074941,-1.0948138597697332,0.16763353687996418,1.8739791579265845,-3.338178415464609,
20150327,8413.223518320729,-10.98741116820496,-1.4100735578003856,0.15021558528556303,1.643760441470077,-3.73437030006346,
20150328,7982.860978338289,-10.387986268762644,-1.1090560628942088,0.17209226423037866,1.5460298687711507,-3.137905155519602,
20150329,8946.348949971372,-10.051332989207092,-0.26289188028136373,0.19137865880531152,1.7079448631624194,-3.6005011655691908,
20150330,8080.912789114733,-10.086422608048132,-0.18637786468891696,0.23257768273530618,1.5625691450907873,-3.4537954748708724,
20150331,8459.065445486363,-9.979091887342681,0.5403069180663241,0.22676966858818798,1.3806055090880631,-3.405671933890667,
20150401,8569.701184743217,-9.789219825455897,0.6233235162808478,0.22013254923648884,1.3883346224321667,-3.6188599340427,
20150402,8816.944010430385,-8.278514720358055,1.1471113819557526,0.23809922465895936,1.5666730776541498,-3.222063163489549,
20150403,8456.015242384978,-8.725793787894746,1.6690081090579223,0.24754092358569596,1.3479129104415664,-3.622802837705718,
20150404,8653.274940435218,-8.564462826473802,2.1687991579914367,0.25048485161840234,1.4654927873595904,-3.4044568818490863,
20150405,8231.13476835441,-8.35029444699782,2.6250959920738786,0.2792840563968893,1.268105944837221,-3.7966317319476426,
20150406,8731.88514740313,-7.501030413563334,3.0590270070392425,0.2985874909301635,1.2750047226909937,-3.613048117614395,
20150407,8995.156669877544,-7.8537200731884536,3.4167905565254824,0.2984733285441149,1.1854964315393088,-3.065418802603021,
20150408,8403.926552281098,-7.388486978892865,3.8378868259058683,0.3304181586484775,1.210032232863506,-3.4305146246850584,
20150409,8366.375146657456,-6.755784819912758,4.283106343696562,0.3245831582980803,1.1831889860911524,-3.308931321873195,
20150410,8249.900244517852,-6.436658428117064,4.487368452938554,0.33491148839230345,1.1790580107840778,-3.5826365884931572,
20150411,8586.468818762794,-5.931344823477204,5.729014358203746,0.3864330453577357,1.1924440751159138,-3.604490269512152,
20150412,8285.836259133044,-5.841597245469804,5.84613989598092,0.37078831519826505,0.9946468952201932,-3.6325121346688336,
20150413,8678.239518795828,-5.544447296104838,5.921869596240876,0.4179062535046772,1.0226310785028623,-3.230712235566479,
20150414,8857.779276011343,-5.661596460771749,6.747486809070194,0.41075741072679806,0.8997658319080978,-3.7605044604614344,
20150415,9206.995437322223,-4.3969805256464625,6.71290171140986,0.4302867829409662,1.070881037521242,-3.4146481005951146,
20150416,8911.323990438903,-3.8354659572601704,6.978307714151468,0.43194979206304884,1.0099807878957048,-3.445876863884642,
