TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
-15.096437368196556,-13.374354395306405,-11.652271422416256,-9.930188449526106,-8.208105476635955,-6.486022503745806,-4.763939530855655,-3.041856557965504,-1.319773585075355
-14.517017253752298,-12.8289904826129,-11.140963711473502,-9.452936940334103,-7.764910169194705,-6.0768833980553065,-4.388856626915908,-2.70082985577651,-1.0128030846371114
-14.112324885552342,-12.44424022462944,-10.776155563706535,-9.108070902783632,-7.43998624186073,-5.771901580937827,-4.103816920014923,-2.4357322590920205,-0.767647598169118
-14.392022130468977,-12.69484899478299,-10.997675859097004,-9.300502723411018,-7.603329587725032,-5.9061564520390455,-4.208983316353059,-2.511810180667073,-0.8146370449810867
-13.820455301396333,-12.0925896278735,-10.364723954350664,-8.63685828082783,-6.908992607304996,-5.181126933782162,-3.4532612602593282,-1.725395586736493,0.0024700867863405307
-13.73176971440386,-12.004814005647257,-10.277858296890654,-8.55090258813405,-6.823946879377448,-5.096991170620845,-3.3700354618642407,-1.6430797531076387,0.08387595564896522
-13.545170720878032,-11.89310798769811,-10.241045254518188,-8.588982521338266,-6.936919788158345,-5.284857054978424,-3.6327943217985013,-1.9807315886185801,-0.328668855438659
-13.42341607494384,-11.735497155142685,-10.047578235341533,-8.359659315540378,-6.671740395739224,-4.98382147593807,-3.2959025561369177,-1.6079836363357636,0.07993528346539058
-13.567658196379154,-11.877253096342898,-10.18684799630664,-8.496442896270382,-6.806037796234126,-5.115632696197869,-3.4252275961616103,-1.7348224961253536,-0.04441739608909678
-13.133204079547324,-11.419623258419014,-9.706042437290705,-7.9924616161623945,-6.278880795034084,-4.565299973905773,-2.8517191527774646,-1.138138331649154,0.5754424894791565
-13.094949456380316,-11.40646134251678,-9.717973228653243,-8.029485114789708,-6.340997000926171,-4.652508887062634,-2.964020773199099,-1.2755326593355623,0.41295545452797455
-12.984506149539664,-11.272787377334117,-9.561068605128568,-7.849349832923021,-6.1376310607174736,-4.425912288511926,-2.714193516306379,-1.0024747441008302,0.7092440281047168
-13.064348395382549,-11.277587321116803,-9.490826246851057,-7.704065172585313,-5.917304098319567,-4.1305430240538215,-2.3437819497880774,-0.5570208755223316,1.2297401987434142
