WIND_0,WIND_1,WIND_2,WIND_3,WIND_4,WIND_5,WIND_6,WIND_7,WIND_8
1.828258290072913,2.2565300258288152,2.6848017615847173,3.1130734973406193,3.5413452330965214,3.9696169688524234,4.397888704608326,4.826160440364228,5.2544321761201305
1.7275035007981396,2.1883820676440635,2.6492606344899876,3.1101392013359117,3.571017768181836,4.03189633502776,4.492774901873684,4.953653468719608,5.414532035565532
1.7753478425013574,2.216203824457212,2.6570598064130673,3.0979157883689217,3.538771770324777,3.9796277522806314,4.420483734236487,4.861339716192341,5.302195698148196
1.755569582886341,2.198888507226774,2.642207431567207,3.08552635590764,3.528845280248073,3.972164204588506,4.415483128928939,4.858802053269372,5.302120977609805
1.7108114946256645,2.1727765781740276,2.634741661722391,3.0967067452707546,3.5586718288191177,4.020636912367481,4.482601995915845,4.944567079464208,5.406532163012571
1.6984319833920087,2.138712885591654,2.5789937877912994,3.0192746899909446,3.45955559219059,3.899836494390235,4.34011739658988,4.7803982987895255,5.220679200989171
1.724958810454748,2.168642299988716,2.612325789522684,3.0560092790566515,3.499692768590619,3.9433762581245873,4.387059747658555,4.8307432371925225,5.274426726726491
1.7038960700857966,2.1578597408858533,2.6118234116859096,3.0657870824859663,3.519750753286023,3.9737144240860793,4.4276780948861365,4.881641765686192,5.335605436486249
1.925560683284256,2.3529793973990025,2.7803981115137493,3.2078168256284956,3.635235539743242,4.062654253857988,4.490072967972735,4.917491682087482,5.344910396202228
1.6204484519450175,2.0876604434146744,2.5548724348843312,3.022084426353988,3.4892964178236445,3.9565084092933014,4.423720400762958,4.8909323922326156,5.358144383702272
1.6991243589944265,2.149471798536055,2.5998192380776834,3.0501666776193117,3.5005141171609404,3.950861556702569,4.401208996244197,4.851556435785826,5.301903875327454
1.7088861152824886,2.1526926131441724,2.596499111005856,3.0403056088675404,3.4841121067292242,3.927918604590908,4.371725102452592,4.815531600314276,5.259338098175959
1.7285507378693592,2.1704300796310285,2.612309421392698,3.054188763154367,3.496068104916036,3.9379474466777054,4.379826788439375,4.8217061302010435,5.263585471962713
1.942120108215552,2.3642121110020846,2.7863041137886175,3.20839611657515,3.630488119361683,4.052580122148216,4.474672124934749,4.896764127721282,5.318856130507815
1.8188757080464808,2.2759779869742762,2.7330802659020716,3.1901825448298666,3.647284823757662,4.1043871026854575,4.561489381613253,5.018591660541048,5.475693939468844
2.012531344226397,2.4472662266102745,2.882001108994152,3.3167359913780294,3.751470873761907,4.186205756145785,4.620940638529662,5.05567552091354,5.4904104032974175
2.003980093127648,2.4288310247666027,2.8536819564055573,3.2785328880445124,3.703383819683467,4.128234751322422,4.553085682961377,4.977936614600331,5.402787546239286
2.0327595656518764,2.463721066681356,2.8946825677108357,3.3256440687403153,3.7566055697697953,4.187567070799275,4.6185285718287545,5.049490072858234,5.480451573887714
2.06867220702221,2.5093689572640487,2.9500657075058876,3.3907624577477264,3.831459207989565,4.272155958231403,4.712852708473243,5.153549458715082,5.59424620895692
2.0581246518160663,2.512633630359917,2.9671426089037674,3.4216515874476174,3.876160565991468,4.3306695445353185,4.785178523079169,5.239687501623019,5.69419648016687
2.165693818956497,2.608848724668571,3.052003630380645,3.4951585360927195,3.9383134418047936,4.381468347516868,4.824623253228942,5.267778158941016,5.71093306465309
2.302052430066265,2.7510776067859517,3.2001027835056384,3.6491279602253246,4.098153136945012,4.547178313664698,4.996203490384384,5.445228667104071,5.8942538438237575
2.272682238223158,2.7309216945082637,3.1891611507933697,3.6474006070784757,4.105640063363581,4.563879519648687,5.022118975933793,5.480358432218899,5.938597888504004
2.279357213795995,2.7202935600622986,3.1612299063286016,3.6021662525949045,4.043102598861208,4.484038945127511,4.924975291393814,5.365911637660117,5.806847983926421
2.3731144421556425,2.821044281754862,3.268974121354082,3.7169039609533012,4.164833800552521,4.612763640151741,5.06069347975096,5.50862331935018,5.9565531589494
2.184125779757488,2.657583012056548,3.1310402443556082,3.604497476654668,4.077954708953728,4.5514119412527885,5.024869173551848,5.498326405850909,5.971783638149969
2.374304573844197,2.826442206695602,3.278579839547007,3.7307174723984122,4.182855105249817,4.6349927381012215,5.087130370952627,5.5392680038040325,5.991405636655437
2.3260039725782504,2.797604795404203,3.2692056182301563,3.740806441056109,4.212407263882062,4.684008086708015,5.155608909533967,5.627209732359921,6.098810555185874
2.481285472455866,2.9311231610392317,3.380960849622597,3.8307985382059626,4.280636226789328,4.730473915372693,5.180311603956059,5.630149292539425,6.07998698112279
