IRRAD_0,IRRAD_1,IRRAD_2,IRRAD_3,IRRAD_4,IRRAD_5,IRRAD_6,IRRAD_7,IRRAD_8
-791.2907815614928,641.656767201237,2074.6043159639667,3507.551864726697,4940.499413489427,6373.4469622521565,7806.394511014887,9239.342059777617,10672.289608540346
-599.6255676153509,813.3765871833253,2226.3787419820014,3639.3808967806776,5052.383051579354,6465.3852063780305,7878.387361176707,9291.389515975383,10704.39167077406
-591.5216298520543,877.1376601817287,2345.796950215512,3814.4562402492948,5283.1155302830775,6751.77482031686,8220.434110350645,9689.093400384427,11157.75269041821
-504.9226279552757,941.9925667382176,2388.9077614317107,3835.8229561252037,5282.738150818697,6729.653345512191,8176.568540205683,9623.483734899179,11070.398929592671
-489.4254494922652,979.0511455529631,2447.5277405981915,3916.00433564342,5384.480930688648,6852.9575257338765,8321.434120779104,9789.910715824335,11258.387310869562
-14.976703489187592,1402.7897988975378,2820.5563012842636,4238.322803670989,5656.089306057715,7073.85580844444,8491.622310831164,9909.38881321789,11327.155315604616
101.95380011053466,1575.5659370958276,3049.1780740811205,4522.790211066414,5996.402348051706,7470.014485036999,8943.626622022291,10417.238759007583,11890.850895992877
754.2224959509576,2131.5621334167486,3508.9017708825395,4886.24140834833,6263.581045814121,7640.920683279913,9018.260320745703,10395.599958211493,11772.939595677286
383.078263656429,1836.3569666286442,3289.6356696008593,4742.914372573075,6196.1930755452895,7649.471778517504,9102.75048148972,10556.029184461935,12009.30788743415
986.7202676967078,2360.1683796562606,3733.6164916158136,5107.064603575367,6480.51271553492,7853.960827494473,9227.408939454026,10600.857051413579,11974.305163373132
955.9742850339704,2350.3823481942995,3744.7904113546288,5139.198474514958,6533.606537675288,7928.014600835617,9322.422663995945,10716.830727156275,12111.238790316604
1603.054622068516,2930.7101351522233,4258.365648235931,5586.021161319638,6913.676674403345,8241.332187487053,9568.98770057076,10896.643213654466,12224.298726738174
1313.454023243518,2731.6403807103115,4149.826738177106,5568.013095643899,6986.199453110694,8404.385810577487,9822.57216804428,11240.758525511075,12658.944882977868
1691.8664859367127,3116.602970735452,4541.339455534191,5966.075940332931,7390.81242513167,8815.54890993041,10240.28539472915,11665.021879527889,13089.758364326628
1911.8616988389167,3329.608376275229,4747.355053711542,6165.101731147854,7582.8484085841665,9000.59508602048,10418.34176345679,11836.088440893103,13253.835118329416
2158.179767807258,3595.5826029766104,5032.985438145963,6470.388273315315,7907.791108484667,9345.19394365402,10782.596778823372,12219.999613992724,13657.402449162077
2318.534859121257,3734.25656880436,5149.978278487463,6565.699988170567,7981.42169785367,9397.143407536772,10812.865117219877,12228.58682690298,13644.308536586082
1958.1384225359152,3445.671834343994,4933.2052461520725,6420.738657960151,7908.27206976823,9395.80548157631,10883.338893384385,12370.872305192464,13858.405717000544
2042.806350860217,3504.4373787354143,4966.068406610612,6427.69943448581,7889.330462361007,9350.961490236205,10812.592518111403,12274.2235459866,13735.854573861798
2844.1053915479656,4298.556060902193,5753.006730256421,7207.457399610648,8661.908068964876,10116.358738319104,11570.809407673332,13025.26007702756,14479.710746381788
2708.7993645941087,4210.092719156479,5711.386073718849,7212.679428281219,8713.97278284359,10215.266137405959,11716.559491968328,13217.852846530699,14719.14620109307
3076.442054874497,4498.8759035898465,5921.3097523051965,7343.743601020546,8766.177449735895,10188.611298451244,11611.045147166595,13033.478995881944,14455.912844597293
3399.0807380884835,4799.822528737889,6200.564319387295,7601.306110036701,9002.047900686106,10402.789691335513,11803.531481984919,13204.273272634324,14605.01506328373
3038.5209378315494,4542.329687134723,6046.138436437896,7549.94718574107,9053.755935044243,10557.564684347417,12061.373433650591,13565.182182953762,15068.990932256937
3673.431866741317,5067.760864347955,6462.089861954593,7856.41885956123,9250.74785716787,10645.076854774507,12039.405852381144,13433.734849987783,14828.06384759442
3600.1442793884603,4989.952995218675,6379.76171104889,7769.570426879103,9159.379142709318,10549.187858539533,11938.996574369747,13328.805290199962,14718.614006030177
3834.3785940701696,5292.07164561145,6749.764697152729,8207.457748694009,9665.15080023529,11122.843851776568,12580.536903317849,14038.229954859127,15495.923006400408
3986.264273152211,5411.684030089926,6837.1037870276405,8262.523543965355,9687.943300903069,11113.363057840785,12538.7828147785,13964.202571716214,15389.622328653928
4784.494283331362,6174.7064660846245,7564.918648837887,8955.130831591148,10345.343014344413,11735.555197097674,13125.767379850937,14515.9795626042,15906.191745357462
4334.209911711623,5823.368071795487,7312.526231879349,8801.684391963212,10290.842552047076,11780.000712130939,13269.1588722148,14758.317032298664,16247.475192382528
4808.9839820279485,6245.367214676315,7681.75044732468,9118.133679973045,10554.516912621411,11990.900145269778,13427.283377918142,14863.666610566508,16300.049843214874
4106.280695042578,5642.261051268584,7178.24140749459,8714.221763720598,10250.202119946603,11786.18247617261,13322.162832398615,14858.143188624621,16394.123544850627
4913.829542944271,6294.311407580315,7674.793272216358,9055.2751368524,10435.757001488444,11816.238866124488,13196.72073076053,14577.202595396573,15957.684460032617
5274.5816566306285,6688.681336463576,8102.781016296525,9516.880696129472,10930.980375962423,12345.08005579537,13759.179735628317,15173.279415461267,16587.379095294214
5199.201942032735,6584.312366542477,7969.4227910522195,9354.533215561962,10739.643640071703,12124.754064581446,13509.86448909119,14894.97491360093,16280.085338110672
5297.351266869284,6688.9587182814985,8080.566169693713,9472.173621105929,10863.781072518144,12255.388523930358,13646.995975342574,15038.603426754788,16430.210878167003
6069.371489575843,7454.197671851523,8839.023854127205,10223.850036402884,11608.676218678567,12993.502400954247,14378.328583229926,15763.15476550561,17147.98094778129
5688.493570142439,7143.661193766937,8598.828817391435,10053.996441015934,11509.16406464043,12964.33168826493,14419.499311889427,15874.666935513924,17329.834559138424
5600.901900187208,7034.882617877058,8468.863335566908,9902.844053256758,11336.824770946609,12770.805488636459,14204.786206326306,15638.766924016156,17072.747641706006
6107.832545881466,7532.366394548141,8956.900243214815,10381.434091881492,11805.967940548166,13230.501789214843,14655.035637881516,16079.569486548193,17504.103335214866
6002.845512439922,7488.108024155631,8973.370535871341,10458.633047587049,11943.89555930276,13429.158071018468,14914.42058273418,16399.683094449887,17884.9456061656
6392.62511666855,7832.938177231464,9273.251237794379,10713.56429835729,12153.877358920206,13594.190419483119,15034.503480046034,16474.816540608947,17915.129601171862
7048.776786719511,8454.6962279474,9860.61566917529,11266.53511040318,12672.454551631068,14078.373992858957,15484.293434086847,16890.212875314737,18296.132316542626
6857.374157311803,8339.915113399613,9822.456069487424,11304.997025575232,12787.537981663041,14270.078937750852,15752.619893838662,17235.16084992647,18717.70180601428
7059.554357932528,8483.509492802717,9907.464627672907,11331.419762543099,12755.374897413289,14179.330032283478,15603.28516715367,17027.24030202386,18451.19543689405
6983.254339207595,8478.253681175653,9973.253023143709,11468.252365111766,12963.251707079824,14458.25104904788,15953.250391015938,17448.249732983993,18943.24907495205
6969.515330598773,8449.077497320197,9928.63966404162,11408.201830763042,12887.763997484466,14367.32616420589,15846.888330927311,17326.450497648737,18806.01266437016
7388.098466730481,8872.818055073323,10357.537643416166,11842.257231759007,13326.976820101849,14811.696408444692,16296.415996787535,17781.135585130374,19265.855173473217
7768.583522910842,9208.617441496877,10648.651360082913,12088.685278668947,13528.719197254983,14968.753115841018,16408.787034427052,17848.820953013088,19288.854871599124
8293.207176948341,9657.515654375164,11021.824131801986,12386.13260922881,13750.441086655634,15114.749564082456,16479.05804150928,17843.366518936105,19207.674996362926
7999.129926164844,9470.887956567216,10942.64598696959,12414.404017371962,13886.162047774334,15357.920078176709,16829.67810857908,18301.436138981455,19773.194169383827
8413.223518320729,9829.439916577421,11245.656314834114,12661.872713090808,14078.0891113475,15494.305509604194,16910.521907860886,18326.73830611758,19742.95470437427
7982.860978338289,9456.93502492833,10931.009071518374,12405.083118108418,13879.15716469846,15353.231211288501,16827.305257878543,18301.379304468588,19775.45335105863
8946.348949971372,10286.642553634538,11626.936157297701,12967.229760960865,14307.52336462403,15647.816968287196,16988.11057195036,18328.404175613523,19668.69777927669
8080.912789114733,9559.542495546983,11038.17220197923,12516.801908411479,13995.431614843728,15474.061321275978,16952.691027708228,18431.320734140474,19909.950440572724
8459.065445486363,9872.43745874453,11285.809472002698,12699.181485260866,14112.553498519032,15525.9255117772,16939.297525035367,18352.669538293536,19766.0415515517
8569.701184743217,10040.648956155575,11511.596727567932,12982.54449898029,14453.49227039265,15924.440041805006,17395.387813217363,18866.33558462972,20337.28335604208
8816.944010430385,10212.639382555719,11608.334754681051,13004.030126806385,14399.725498931719,15795.420871057051,17191.116243182383,18586.811615307717,19982.50698743305
8456.015242384978,9873.490199415013,11290.965156445049,12708.440113475084,14125.915070505122,15543.390027535155,16960.864984565193,18378.33994159523,19795.814898625264
8653.274940435218,10083.379303564627,11513.483666694034,12943.58802982344,14373.69239295285,15803.796756082258,17233.901119211667,18664.005482341072,20094.10984547048
8231.13476835441,9637.683431644069,11044.232094933728,12450.780758223387,13857.329421513045,15263.878084802705,16670.426748092363,18076.975411382024,19483.52407467168
8731.88514740313,10154.197656770502,11576.510166137876,12998.822675505247,14421.135184872619,15843.447694239992,17265.760203607366,18688.07271297474,20110.38522234211
8995.156669877544,10326.724068905543,11658.291467933543,12989.858866961542,14321.426265989543,15652.99366501754,16984.56106404554,18316.12846307354,19647.69586210154
8403.926552281098,9822.43125140887,11240.935950536643,12659.440649664415,14077.94534879219,15496.45004791996,16914.954747047734,18333.459446175504,19751.96414530328
8366.375146657456,9809.020261646196,11251.665376634934,12694.310491623673,14136.955606612413,15579.600721601151,17022.245836589893,18464.89095157863,19907.53606656737
8249.900244517852,9711.418570840608,11172.936897163361,12634.455223486115,14095.97354980887,15557.491876131626,17019.01020245438,18480.528528777133,19942.04685509989
8586.468818762794,9968.687802276745,11350.906785790696,12733.125769304646,14115.344752818597,15497.563736332548,16879.7827198465,18262.00170336045,19644.2206868744
8285.836259133044,9740.744091144361,11195.651923155678,12650.559755166996,14105.467587178313,15560.37541918963,17015.283251200948,18470.191083212267,19925.09891522358
8678.239518795828,10091.933297232132,11505.627075668433,12919.320854104735,14333.014632541039,15746.708410977342,17160.402189413646,18574.095967849946,19987.78974628625
8857.779276011343,10306.574839754137,11755.370403496934,13204.165967239729,14652.961530982524,16101.75709472532,17550.552658468114,18999.348222210912,20448.143785953707
9206.995437322224,10570.165630040929,11933.335822759633,13296.506015478339,14659.676208197043,16022.846400915747,17386.016593634453,18749.18678635316,20112.35697907186
8911.323990438903,10361.636294043834,11811.948597648765,13262.260901253696,14712.573204858625,16162.885508463558,17613.197812068487,19063.510115673416,20513.82241927835
8769.654043416225,10130.816787312677,11491.979531209128,12853.14227510558,14214.30501900203,15575.467762898483,16936.630506794932,18297.793250691386,19658.955994587835
9430.032011229623,10773.781198278377,12117.53038532713,13461.279572375883,14805.028759424637,16148.77794647339,17492.527133522144,18836.276320570898,20180.02550761965
8947.504368277618,10422.319672154757,11897.134976031897,13371.950279909037,14846.765583786178,16321.580887663316,17796.396191540458,19271.2114954176,20746.026799294737
9843.72008649415,11215.878785693034,12588.03748489192,13960.196184090804,15332.354883289689,16704.513582488573,18076.67228168746,19448.830980886345,20820.98968008523
9538.033514033408,11015.519877434866,12493.006240836326,13970.492604237785,15447.978967639243,16925.4653310407,18402.951694442163,19880.43805784362,21357.92442124508
9468.067455589247,10922.152024397396,12376.236593205544,13830.321162013692,15284.40573082184,16738.490299629986,18192.574868438136,19646.659437246286,21100.744006054432
10003.94878081319,11435.562056774945,12867.175332736699,14298.788608698454,15730.401884660208,17162.015160621962,18593.628436583716,20025.24171254547,21456.854988507224
10383.313837592435,11758.661133094076,13134.008428595716,14509.355724097359,15884.703019599,17260.05031510064,18635.397610602282,20010.744906103922,21386.092201605563
10073.19625809869,11506.872362750883,12940.548467403078,14374.224572055271,15807.900676707464,17241.57678135966,18675.252886011855,20108.928990664048,21542.60509531624
10706.809749859864,12120.581297286399,13534.352844712934,14948.124392139467,16361.895939566002,17775.667486992537,19189.439034419072,20603.210581845608,22016.982129272143
11057.436903398462,12490.64797151956,13923.859039640658,15357.070107761758,16790.281175882854,18223.49224400395,19656.703312125053,21089.91438024615,22523.12544836725
10871.92153874081,12382.488679047869,13893.05581935493,15403.622959661989,16914.190099969048,18424.757240276107,19935.324380583166,21445.89152089023,22956.458661197288
