DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,1345.1805336201296,-13.61295700411545,-10.73689132880204,0.06,1.8282582900729132,4.584108797706492,
20150102,1219.3501267016775,-14.127802187478142,-11.164635995881216,0.06,1.7275035007981396,4.270901762290704,
20150103,1286.6673971734313,-14.369130224512825,-10.895118289096956,0.06,1.7753478425013574,4.633548225234187,
20150104,1262.1858918381922,-14.488739374556044,-11.357321107832847,0.06,1.755569582886341,4.824135966123904,
20150105,1276.2314201925024,-14.595578822070784,-10.344200515657693,0.06,1.7108114946256645,4.533483658736955,
20150106,1344.5448894796468,-14.570512175478234,-11.065392859010489,0.06,1.6984319833920087,4.474498580098251,
20150107,2092.378863965144,-14.917464152683998,-10.738608153555717,0.06,1.724958810454748,4.439509839920821,
20150108,1680.0715931394686,-14.956404309199494,-10.975267240983502,0.06,1.7038960700857966,4.430794129539525,
20150109,1589.8824410014504,-14.727814502155564,-11.548896520935015,0.06,1.9255606832842558,4.352984104116047,
20150110,1922.91166873602,-15.076118079139107,-11.687395390018096,0.06,1.6204484519450175,4.297944138986239,
20150111,1663.4375220344318,-15.13428279354615,-11.468339136876464,0.06,1.6991243589944265,4.2964721894624125,
20150112,2134.960351559968,-15.30203074635343,-11.65630044455513,0.06,1.7088861152824886,4.420782851013999,
20150113,2543.745184313748,-15.9527642426814,-11.997169328738293,0.06,1.7285507378693592,4.474036411407062,
20150114,2626.271077661679,-15.6407057967005,-11.502844053535554,0.06,1.9421201082155517,4.382477555807518,
20150115,2497.939304937093,-15.64515403367914,-11.775512291351767,0.06,1.8188757080464808,4.576796604425279,
20150116,2333.419069348915,-15.93520201974791,-11.821774400665538,0.06,2.012531344226397,4.2596325369565715,
20150117,2091.802380398337,-16.161001389671927,-11.912409884357407,0.06,2.003980093127648,4.541424813498081,
20150118,2377.0254231694225,-15.923016407222278,-12.359893585871983,0.06,2.0327595656518764,4.24832949403707,
20150119,2293.7718698368303,-16.450056392401972,-12.426125279258713,0.06,2.06867220702221,4.303966476535834,
20150120,2379.360559627945,-16.345874385470033,-12.407499152200108,0.06,2.0581246518160663,4.5060646866397684,
20150121,2788.409834960348,-16.595435612103937,-11.786136352183414,0.06,2.165693818956497,4.17708874662522,
20150122,2641.040184116277,-16.449493034030017,-12.951092019305039,0.06,2.302052430066265,4.485434259880631,
