VAP_0,VAP_1,VAP_2,VAP_3,VAP_4,VAP_5,VAP_6,VAP_7,VAP_8
0.06,0.1306852127710642,0.20137042554212842,0.2720556383131926,0.34274085108425684,0.41342606385532105,0.48411127662638526,0.5547964893974495,0.6254817021685137
0.06,0.13219992838823233,0.20439985677646466,0.27659978516469697,0.3487997135529293,0.42099964194116163,0.493199570329394,0.5653994987176263,0.6375994271058587
0.06,0.13136988096568317,0.20273976193136634,0.27410964289704953,0.3454795238627327,0.41684940482841587,0.488219285794099,0.5595891667597821,0.6309590477254654
0.06,0.1328264069244787,0.2056528138489574,0.2784792207734361,0.3513056276979148,0.4241320346223935,0.4969584415468722,0.5697848484713508,0.6426112553958296
0.06,0.1295741028651919,0.19914820573038378,0.26872230859557567,0.33829641146076755,0.40787051432595944,0.47744461719115133,0.5470187200563432,0.6165928229215352
0.06,0.13190269623384981,0.20380539246769963,0.27570808870154945,0.34761078493539926,0.4195134811692491,0.4914161774030989,0.5633188736369488,0.6352215698707986
0.06,0.1304111514081341,0.20082230281626823,0.27123345422440237,0.34164460563253646,0.4120557570406706,0.4824669084488047,0.5528780598569387,0.623289211265073
0.06,0.12850612505468503,0.19701225010937007,0.2655183751640551,0.33402450021874014,0.40253062527342515,0.4710367503281102,0.5395428753827953,0.6080490004374803
0.06,0.12877069141191325,0.1975413828238265,0.26631207423573977,0.335082765647653,0.40385345705956627,0.4726241484714795,0.5413948398833928,0.610165531295306
0.06,0.12890221390511963,0.19780442781023927,0.2667066417153589,0.33560885562047854,0.4045110695255982,0.4734132834307178,0.5423154973358375,0.6112177112409571
0.06,0.1264483757495593,0.1928967514991186,0.2593451272486779,0.3257935029982372,0.39224187874779654,0.45869025449735584,0.5251386302469152,0.5915870059964745
0.06,0.12809005919228564,0.19618011838457128,0.2642701775768569,0.33236023676914256,0.40045029596142817,0.46854035515371384,0.5366304143459995,0.6047204735382852
0.06,0.1284305871006065,0.19686117420121302,0.26529176130181953,0.33372234840242604,0.40215293550303255,0.47058352260363906,0.5390141097042456,0.6074446968048521
0.06,0.12942920752038298,0.19885841504076596,0.2682876225611489,0.3377168300815319,0.40714603760191487,0.4765752451222979,0.5460044526426808,0.6154336601630639
0.06,0.1263694618160969,0.1927389236321938,0.25910838544829073,0.3254778472643876,0.39184730908048454,0.4582167708965814,0.5245862327126782,0.5909556945287753
0.06,0.12719942140669194,0.19439884281338388,0.2615982642200758,0.32879768562676776,0.3959971070334597,0.46319652844015163,0.5303959498468436,0.5975953712535356
0.06,0.1278143976008081,0.1956287952016162,0.2634431928024243,0.3312575904032324,0.3990719880040405,0.4668863856048486,0.5347007832056567,0.6025151808064648
0.06,0.12449350606992571,0.18898701213985142,0.25348051820977713,0.31797402427970284,0.38246753034962855,0.44696103641955426,0.51145454248948,0.5759480485594057
0.06,0.12750479852070856,0.19500959704141713,0.2625143955621257,0.33001919408283426,0.3975239926035428,0.4650287911242514,0.5325335896449599,0.6000383881656686
0.06,0.1269458989355166,0.19389179787103322,0.26083769680654983,0.32778359574206645,0.39472949467758306,0.46167539361309967,0.5286212925486162,0.595567191484133
0.06,0.12630276852011416,0.19260553704022831,0.2589083055603425,0.32521107408045663,0.3915138426005708,0.45781661112068495,0.524119379640799,0.5904221481609133
0.06,0.12538036453994916,0.19076072907989833,0.2561410936198475,0.32152145815979666,0.3869018226997458,0.452282187239695,0.5176625517796442,0.5830429163195934
0.06,0.12484779913978131,0.18969559827956262,0.25454339741934395,0.31939119655912523,0.38423899569890657,0.44908679483868785,0.5139345939784692,0.5787823931182505
0.06,0.12494053769121916,0.1898810753824383,0.25482161307365747,0.31976215076487663,0.3847026884560958,0.44964322614731494,0.5145837638385341,0.5795243015297533
0.06,0.12474988027878267,0.18949976055756534,0.25424964083634805,0.3189995211151307,0.3837494013939134,0.44849928167269604,0.5132491619514787,0.5779990422302614
0.06,0.12535631567274277,0.19071263134548555,0.25606894701822835,0.3214252626909711,0.3867815783637139,0.45213789403645666,0.5174942097091995,0.5828505253819423
0.06,0.1270195487980515,0.194039097596103,0.2610586463941545,0.328078195192206,0.3950977439902575,0.462117292788309,0.5291368415863604,0.596156390384412
0.06,0.12949773771313927,0.19899547542627855,0.2684932131394178,0.3379909508525571,0.40748868856569637,0.47698642627883564,0.5464841639919749,0.6159819017051142
0.06,0.12468733776910818,0.18937467553821635,0.25406201330732453,0.3187493510764327,0.3834366888455409,0.44812402661464906,0.5128113643837573,0.5774987021528655
0.06,0.11840259138579828,0.17680518277159657,0.23520777415739488,0.2936103655431932,0.3520129569289915,0.41041554831478977,0.46881813970058805,0.5272207310863863
0.06,0.1227692864381183,0.1855385728762366,0.2483078593143549,0.3110771457524732,0.3738464321905915,0.4366157186287098,0.4993850050668281,0.5621542915049464
0.06,0.12565797826136635,0.1913159565227327,0.256973934784099,0.3226319130454654,0.3882898913068317,0.4539478695681981,0.5196058478295644,0.5852638260909309
0.06,0.12592387806630292,0.19184775613260585,0.2577716341989088,0.3236955122652117,0.38961939033151466,0.45554326839781756,0.5214671464641205,0.5873910245304235
0.06,0.12760504114214086,0.19521008228428172,0.26281512342642255,0.33042016456856343,0.39802520571070427,0.46563024685284515,0.533235287994986,0.6008403291371269
0.06,0.12595362838170854,0.19190725676341708,0.2578608851451256,0.32381451352683416,0.3897681419085427,0.45572177029025124,0.5216753986719598,0.5876290270536684
0.06,0.12656605961502612,0.19313211923005225,0.2596981788450784,0.3262642384601045,0.39283029807513065,0.45939635769015674,0.5259624173051829,0.592528476920209
