DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,0.0,-11.99324029813824,-10.73689132880204,0.06,1.8282582900729132,4.584108797706492,
20150102,0.0,-12.388139927561589,-11.164635995881216,0.06,1.7275035007981396,4.270901762290704,
20150103,0.0,-12.659312197207825,-10.895118289096956,0.06,1.7753478425013574,4.633548225234187,
20150104,0.0,-12.806426023694598,-11.357321107832847,0.06,1.755569582886341,4.824135966123904,
20150105,0.0,-12.868211026739425,-10.344200515657693,0.06,1.7108114946256645,4.533483658736955,
20150106,0.0,-12.885727049151187,-11.065392859010489,0.06,1.6984319833920087,4.474498580098251,
20150107,0.0,-13.189133966305834,-10.738608153555717,0.06,1.724958810454748,4.439509839920821,
20150108,0.0,-13.247281753138152,-10.975267240983502,0.06,1.7038960700857966,4.430794129539525,
20150109,0.0,-13.061204197240508,-11.548896520935015,0.06,1.9255606832842558,4.352984104116047,
20150110,0.0,-13.399545061247435,-11.687395390018096,0.06,1.6204484519450175,4.297944138986239,
20150111,0.0,-13.479418525560892,-11.468339136876464,0.06,1.6991243589944265,4.2964721894624125,
20150112,0.0,-13.584045016298226,-11.65630044455513,0.06,1.7088861152824886,4.420782851013999,
20150113,0.0,-14.291237404965356,-11.997169328738293,0.06,1.7285507378693592,4.474036411407062,
20150114,0.0,-13.943355513286235,-11.502844053535554,0.06,1.9421201082155517,4.382477555807518,
20150115,0.0,-14.030036746432787,-11.775512291351767,0.06,1.8188757080464808,4.576796604425279,
20150116,0.0,-14.162253698057954,-11.821774400665538,0.06,2.012531344226397,4.2596325369565715,
20150117,0.0,-14.494256810792267,-11.912409884357407,0.06,2.003980093127648,4.541424813498081,
20150118,0.0,-14.273321327173193,-12.359893585871983,0.06,2.0327595656518764,4.24832949403707,
20150119,0.0,-14.810626581228886,-12.426125279258713,0.06,2.06867220702221,4.303966476535834,
20150120,0.0,-14.622467522404547,-12.407499152200108,0.06,2.0581246518160663,4.5060646866397684,
20150121,0.0,-14.86992265242017,-11.786136352183414,0.06,2.165693818956497,4.17708874662522,
20150122,0.0,-14.726789593076026,-12.951092019305039,0.06,2.302052430066265,4.485434259880631,
20150123,5.8150364173782245,-15.380737785093588,-12.624614289611205,0.06,2.272682238223158,4.3438877079376095,
