TMAX_0,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8
-10.73689132880204,-9.155446020830226,-7.574000712858414,-5.992555404886601,-4.411110096914788,-2.829664788942975,-1.2482194809711622,0.3332258270006516,1.9146711349724637
-11.164635995881218,-9.589352993548012,-8.014069991214805,-6.438786988881598,-4.863503986548392,-3.2882209842151857,-1.7129379818819785,-0.13765497954877226,1.437628022784434
-10.895118289096958,-9.300656796915757,-7.706195304734557,-6.111733812553355,-4.517272320372155,-2.922810828190954,-1.3283493360097527,0.266112156171447,1.8605736483526485
-11.357321107832847,-9.678051786812562,-7.998782465792276,-6.3195131447719906,-4.640243823751705,-2.9609745027314194,-1.2817051817111338,0.3975641393091518,2.0768334603294374
-10.344200515657691,-8.813584025692156,-7.2829675357266215,-5.752351045761086,-4.221734555795551,-2.6911180658300156,-1.1605015758644797,0.37011491410105535,1.9007314040665904
-11.065392859010489,-9.488759598934296,-7.912126338858103,-6.33549307878191,-4.758859818705718,-3.182226558629525,-1.605593298553332,-0.02896003847713935,1.5476732215990534
-10.738608153555717,-9.123452942797464,-7.50829773203921,-5.893142521280956,-4.277987310522703,-2.662832099764449,-1.0476768890061958,0.5674783217520574,2.1826335325103106
-10.975267240983504,-9.361890066844458,-7.748512892705411,-6.135135718566364,-4.521758544427318,-2.9083813702882715,-1.2950041961492236,0.31837297798982256,1.9317501521288687
-11.548896520935015,-9.942014526511056,-8.335132532087098,-6.728250537663138,-5.121368543239179,-3.5144865488152206,-1.907604554391261,-0.3007225599673031,1.3061594344566565
-11.687395390018096,-9.975370083852164,-8.263344777686232,-6.551319471520298,-4.8392941653543655,-3.1272688591884332,-1.4152435530224992,0.29678175314343314,2.0088070593093654
-11.468339136876464,-9.868695119225631,-8.269051101574796,-6.669407083923962,-5.0697630662731274,-3.4701190486222933,-1.870475030971459,-0.27083101332062576,1.3288130043302093
-11.65630044455513,-10.035179242227153,-8.414058039899174,-6.792936837571197,-5.171815635243219,-3.5506944329152414,-1.9295732305872644,-0.3084520282592855,1.3126691740686915
-11.997169328738291,-10.30686140891904,-8.61655348909979,-6.92624556928054,-5.235937649461289,-3.545629729642039,-1.8553218098227884,-0.1650138900035376,1.5252940298157132
-11.502844053535556,-9.894047701119918,-8.285251348704282,-6.676454996288644,-5.067658643873006,-3.4588622914573683,-1.8500659390417322,-0.24126958662609432,1.3675267657895436
-11.775512291351763,-10.136719529277684,-8.497926767203605,-6.859134005129524,-5.2203412430554454,-3.5815484809813665,-1.9427557189072857,-0.30396295683320673,1.3348298052408722
-11.82177440066554,-10.266137778805952,-8.710501156946364,-7.154864535086778,-5.599227913227191,-4.043591291367603,-2.4879546695080172,-0.9323180476484296,0.623318574211158
-11.912409884357409,-10.310890460969931,-8.709371037582454,-7.107851614194974,-5.5063321908074965,-3.904812767420019,-2.3032933440325394,-0.7017739206450617,0.8997455027424159
-12.359893585871982,-10.735745854271201,-9.111598122670422,-7.4874503910696415,-5.863302659468862,-4.239154927868082,-2.6150071962673014,-0.9908594646665225,0.6332882669342581
-12.426125279258716,-10.769700799065793,-9.11327631887287,-7.456851838679948,-5.800427358487025,-4.144002878294103,-2.4875783981011796,-0.8311539179082565,0.8252705622846666
-12.407499152200108,-10.75754730661447,-9.107595461028833,-7.457643615443195,-5.807691769857557,-4.157739924271921,-2.507788078686282,-0.8578362331006435,0.7921156124849933
-11.786136352183414,-10.243727585151193,-8.701318818118972,-7.158910051086751,-5.6165012840545305,-4.07409251702231,-2.531683749990089,-0.989274982957868,0.5531337840743529
