DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,0.0,-8.753806886183813,-10.73689132880204,0.06,1.8282582900729132,3.820090664755409,
20150102,0.0,-8.908815407728483,-11.164635995881216,0.06,1.7275035007981396,3.559084801908919,
20150103,0.0,-9.23967614259783,-10.895118289096956,0.06,1.7753478425013574,3.861290187695156,
20150104,0.0,-9.441799321971708,-11.357321107832847,0.06,1.755569582886341,4.020113305103253,
20150105,0.0,-9.413475436076704,-10.344200515657693,0.06,1.7108114946256645,3.7779030489474623,
20150106,0.0,-9.516156796497096,-11.065392859010489,0.06,1.6984319833920087,3.728748816748543,
20150107,0.0,-9.732473593549496,-10.738608153555717,0.06,1.724958810454748,3.699591533267351,
20150108,0.0,-9.829036641015476,-10.975267240983502,0.06,1.7038960700857966,3.6923284412829376,
20150109,0.0,-9.7279835874104,-11.548896520935015,0.06,1.9255606832842558,3.62748675343004,
20150110,0.0,-10.046399025464103,-11.687395390018096,0.06,1.6204484519450175,3.5816201158218663,
20150111,0.0,-10.169689989590372,-11.468339136876464,0.06,1.6991243589944265,3.580393491218677,
20150112,0.0,-10.148073556187818,-11.65630044455513,0.06,1.7088861152824886,3.683985709178332,
20150113,0.0,-10.968183729533267,-11.997169328738293,0.06,1.7285507378693592,3.728363676172551,
20150114,0.0,-10.548654946457711,-11.502844053535554,0.06,1.9421201082155517,3.6520646298395993,
20150115,0.0,-10.79980217194009,-11.775512291351767,0.06,1.8188757080464808,3.813997170354398,
20150116,0.0,-10.616357054678042,-11.821774400665538,0.06,2.012531344226397,3.5496937807971425,
20150117,0.0,-11.160767653032956,-11.912409884357407,0.06,2.003980093127648,3.784520677915067,
20150118,0.0,-10.973931167075024,-12.359893585871983,0.06,2.0327595656518764,3.5402745783642247,
20150119,0.0,-11.531766958882713,-12.426125279258713,0.06,2.06867220702221,3.5866387304465284,
20150120,0.0,-11.175653796273572,-12.407499152200108,0.06,2.0581246518160663,3.75505390553314,
20150121,0.0,-11.41889673305264,-11.786136352183414,0.06,2.165693818956497,3.480907288854349,
20150122,0.0,-11.281382711168039,-12.951092019305039,0.06,2.302052430066265,3.7378618832338577,
20150123,0.0,-12.042938423741205,-12.624614289611205,0.06,2.272682238223158,3.619906423281342,
20150124,0.0,-11.553330626989286,-12.250894184814891,0.06,2.279357213795995,3.725332665178175,
20150125,0.0,-11.870131164332815,-12.590752079815669,0.06,2.3731144421556425,3.7909663494445733,
20150126,0.0,-11.789931948661765,-12.696785333174152,0.06,2.1841257797574882,3.648197486705432,
20150127,0.0,-12.051619327644328,-12.478370582711225,0.06,2.3743045738441966,3.6617283040633546,
