DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,0.0,-15.232673710092664,-10.73689132880204,0.06,1.8282582900729132,0.0,
20150102,0.0,-15.867464447394694,-11.164635995881216,0.06,1.7275035007981396,0.0,
20150103,0.0,-16.078948251817824,-10.895118289096956,0.06,1.7753478425013574,0.0,
20150104,0.0,-16.171052725417486,-11.357321107832847,0.06,1.755569582886341,0.0,
20150105,0.0,-16.322946617402142,-10.344200515657693,0.06,1.7108114946256645,0.0,
20150106,0.0,-16.255297301805278,-11.065392859010489,0.06,1.6984319833920087,0.0,
20150107,0.0,-16.645794339062167,-10.738608153555717,0.06,1.724958810454748,0.0,
20150108,0.0,-16.66552686526083,-10.975267240983502,0.06,1.7038960700857966,0.0,
20150109,0.0,-16.39442480707062,-11.548896520935015,0.06,1.9255606832842558,0.0,
20150110,0.0,-16.752691097030773,-11.687395390018096,0.06,1.6204484519450175,0.0,
20150111,0.0,-16.78914706153141,-11.468339136876464,0.06,1.6991243589944265,0.0,
20150112,0.0,-17.020016476408642,-11.65630044455513,0.06,1.7088861152824886,0.0,
20150113,0.0,-17.614291080397447,-11.997169328738293,0.06,1.7285507378693592,0.0,
20150114,0.0,-17.338056080114765,-11.502844053535554,0.06,1.9421201082155517,0.0,
20150115,0.0,-17.26027132092549,-11.775512291351767,0.06,1.8188757080464808,0.0,
20150116,0.0,-17.708150341437864,-11.821774400665538,0.06,2.012531344226397,0.0,
20150117,0.0,-17.827745968551582,-11.912409884357407,0.06,2.003980093127648,0.0,
20150118,0.0,-17.572711487271366,-12.359893585871983,0.06,2.0327595656518764,0.0,
20150119,0.0,-18.089486203575056,-12.426125279258713,0.06,2.06867220702221,0.0,
20150120,0.0,-18.069281248535518,-12.407499152200108,0.06,2.0581246518160663,0.0,
20150121,0.0,-18.3209485717877,-11.786136352183414,0.06,2.165693818956497,0.0,
20150122,0.0,-18.172196474984013,-12.951092019305039,0.06,2.302052430066265,0.0,
20150123,0.0,-18.71853714644597,-12.624614289611205,0.06,2.272682238223158,0.0,
20150124,0.0,-18.418689910300955,-12.250894184814891,0.06,2.279357213795995,0.0,
20150125,0.0,-18.54283310408721,-12.590752079815669,0.06,2.3731144421556425,0.0,
20150126,0.0,-18.627410436084283,-12.696785333174152,0.06,2.1841257797574882,0.0,
20150127,0.0,-18.717081606331625,-12.478370582711225,0.06,2.3743045738441966,0.0,
20150128,0.0,-18.954695046477426,-12.49575325933464,0.06,2.3260039725782504,0.0,
20150129,0.0,-18.993583385685863,-12.62542904209982,0.06,2.4812854724558657,0.0,
20150130,0.0,-18.09282134680305,-12.841040538414994,0.06,2.5381273828952846,0.0,
